cultivar,price,note,id,url,image,hybridizer,year,color,parentage,ploidy,bloomseason,budcount,branches,form,bloomsize,bloomhabit,seedlingnum,foliagetype,scapeheight,fragrance,sculpting,rebloom
Fires Of Fuji,$15.00,,21985,https://www.daylilies.org/DaylilyDB/detail.php?id=21985,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fires_Of_Fuji.jpg,Hudson-B.,1990,red edged orange tan bitone with yellow green throat,((Palace Guard × Troika) × Palace Guard),Tetraploid,"Midseason,Rebloom","","",Double,"5 in, (13 cm)",Diurnal,PGTPG-2-83,Semi-Evergreen,"28 in, (71 cm)","","",""
Fireworks Exploding,$12.00,,159996,https://www.daylilies.org/DaylilyDB/detail.php?id=159996,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fireworks_Exploding.jpg,Shooter-E.,2008,orange red brown blend above yellow orange throat,"",Diploid,"Midseason,Rebloom",30,4,Unusual Form,"10 in, (25 cm)","",Feb-40,Dormant,"48 in, (122 cm)",Very Fragrant,"",""
Flames of Fall,"",,183245,https://www.daylilies.org/DaylilyDB/detail.php?id=183245,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Flames of Fall.jpg,Salter,2017,"bright orange with large red eye, darker red edge, and small, round, yellow green throat",(unknown × unknown),Tetraploid,"Midseason,Rebloom","","","","5 in, (13 cm)",Diurnal,JS17-07,Evergreen,"30 in, (76 cm)","","",""
Flames Of Summer,"",,167888,https://www.daylilies.org/DaylilyDB/detail.php?id=167888,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Flames of Summer.jpg,Salter,2011,pale yellow with a circular orange eye and orange edge,(unknown × unknown),Tetraploid,"Midseason,Rebloom",25,4,"","5 in, (13 cm)",Diurnal,Eye 1112,Semi-Evergreen,"30 in, (76 cm)","","",""
Flat Out Fabulous,"",,174204,https://www.daylilies.org/DaylilyDB/detail.php?id=174204,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/flat_out_fabulous.jpg,Harry-P.,2013,cream yellow with bright red eye and edge,((Don't Touch That × Barbara Burkhart) × (God be the Glory × sdlg)),Tetraploid,"Early-Midseason,Rebloom",24,4,"","7.5 in, (19 cm)",Diurnal,Aug-46,Semi-Evergreen,"28 in, (71 cm)","","",""
Flattering Imitation,"",,183246,https://www.daylilies.org/DaylilyDB/detail.php?id=183246,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Flattering Imitation.jpg,Salter-E.H.,2017,"dark medium rose plum with open flat form, circular eye of light lavender purple, triangular green heart, lighter lavender cream edging on petals and sepals",(unknown × unknown),Diploid,"Midseason,Rebloom","","","","4 in, (10 cm)",Diurnal,ES17-09,Evergreen,"30 in, (76 cm)","","",""
Fly By Midnight,"",,178061,https://www.daylilies.org/DaylilyDB/detail.php?id=178061,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fly By Midnight.jpg,Salter,2015,"pale ivory cream with a large triangular dark plum purple eye and a dark purple edge, throat is yellow green, substance is smooth, well branched scapes",(unknown × unknown),Tetraploid,"Early-Midseason,Rebloom","","","","7 in, (18 cm)",Diurnal,JS-15-7,Evergreen,"30 in, (76 cm)","","",""
Focus on the Storm,"",,157168,https://www.daylilies.org/DaylilyDB/detail.php?id=157168,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Focus_on_the_Storm.jpg,Hansen-D.,2007,fuchsia rose with rose plum eye and edge above green throat,(((Land Shark × Julie Newmar) × Odds and Ends) × (Roses in Snow × Visual Intrigue)),Tetraploid,"Midseason,Rebloom",25,3,"","7 in, (18 cm)","",5DARKEE,Evergreen,"35 in, (89 cm)","","",""
Follow Your Fancy,"",,167362,https://www.daylilies.org/DaylilyDB/detail.php?id=167362,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Follow Your Fancy.jpg,DeVito,2011,dusty rose with large darker violet blue eyes lined in bright raspberry mascara,(unknown × unknown),Tetraploid,Early-Midseason,24,3,"","6.5 in, (17 cm)",Diurnal,NH08-219,Evergreen,"30 in, (76 cm)","","",""
For Lois,"",,171286,https://www.daylilies.org/DaylilyDB/detail.php?id=171286,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/For_Lois.jpg,DeVito,2012,"bright purple with large violet watermark, nicely ruffled double edge of violet and yellow",(Dragonfly Charmer × Blue Lake),Tetraploid,"Early-Midseason,Rebloom",40,6,"","7 in, (18 cm)",Diurnal,ND10-302,Semi-Evergreen,"35 in, (89 cm)",Fragrant,"",""
Forever Red,$8.00,,3842,https://www.daylilies.org/DaylilyDB/detail.php?id=3842,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Forever Red.jpg,Kirchhoff-D.,1993,velvet cherry red self with green throat,(Vintage Bordeaux × Autumn Valentine),Tetraploid,"Midseason,Rebloom","","","","5.5 in, (14 cm)",Extended,"",Evergreen,"25 in, (64 cm)","","",""
Forgotten Dreams,$10.00,,3848,https://www.daylilies.org/DaylilyDB/detail.php?id=3848,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Forgotten Dreams.jpg,Elliott,1999,gray blue with deep wine eye above lime throat,((Ra Hansen × Everyday Miracles) × Blue and Velvet),Diploid,"Midseason-Late,Rebloom",27,4,"","6.5 in, (17 cm)",Extended,3-A42,Semi-Evergreen,"25 in, (64 cm)",Fragrant,"",""
Forty Second Street,$10.00,,3974,https://www.daylilies.org/DaylilyDB/detail.php?id=3974,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Forty_Second_Street.jpg,Kirchhoff-D.,1991,pastel pink with bright rose eyezone above yellow to green throat,"",Diploid,"Midseason,Rebloom","","",Double,"5 in, (13 cm)",Extended,BPE-1,Evergreen,"24 in, (61 cm)","","",""
Frank Gladney,$6.00,,22486,https://www.daylilies.org/DaylilyDB/detail.php?id=22486,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frank_Gladney.jpg,Durio,1979,hot coral cerise self with gold throat,((Papal Court × Tet. Pink Hurricane) × Tet. Sari),Tetraploid,"Early-Midseason,Rebloom","","","","6.5 in, (17 cm)",Diurnal,P 78-21,Evergreen,"26 in, (66 cm)","","",""
Frank Teele,$10.00,,4002,https://www.daylilies.org/DaylilyDB/detail.php?id=4002,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/FRANK TEELE.jpg,Salter,1994,light burgundy self with green throat,(sdlg × Quest for Excalibur),Tetraploid,"Midseason,Rebloom","","","","6 in, (15 cm)",Diurnal,"",Evergreen,"26 in, (66 cm)","","",""
Frank'S Star Of Bethlehem,$15.00,,149733,https://www.daylilies.org/DaylilyDB/detail.php?id=149733,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/frank's_star_of_bethlehem.jpg,Grace-Smith,2004,lavender purple with lighter watermark and gold edge above green throat,(sdlg × sdlg),Tetraploid,"Early,Rebloom",28,4,"","5.5 in, (14 cm)",Diurnal,"",Semi-Evergreen,"26 in, (66 cm)","","",""
Frankenflower,$15.00,,161970,https://www.daylilies.org/DaylilyDB/detail.php?id=161970,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frankenflower.jpg,Hansen-D.,2009,flesh with blue eye above green throat,(sdlg × (Julianna Lynn × Tet. Barn Owl)),Tetraploid,"Extra Early,Rebloom",25,5,Double 33%,"5.25 in, (13 cm)","",8DBB0,Evergreen,"33 in, (84 cm)","","",""
Free State Of Jones,$12.00,,153599,https://www.daylilies.org/DaylilyDB/detail.php?id=153599,https://www.daylilies.org/DaylilyDB/None,Townsend-J.,2005,pink with sparkling gold edge above green throat,(Ed Brown × Clothed In Glory),Tetraploid,"Early-Midseason,Rebloom",16,4,"","6 in, (15 cm)",Diurnal,GE004,Semi-Evergreen,"26 in, (66 cm)","","",""
Free The Night,"",,170556,https://www.daylilies.org/DaylilyDB/detail.php?id=170556,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/FreeTheNight.jpg,DeVito,2012,magenta background under bright purple eye with large double edge of purple and light yellow all above a green throat,(unknown × unknown),Tetraploid,"Early-Midseason,Rebloom",27,5,"","6.5 in, (17 cm)",Diurnal,ND09-22,Evergreen,"31 in, (79 cm)",Fragrant,"",""
Free Wheelin',$18.00,,149787,https://www.daylilies.org/DaylilyDB/detail.php?id=149787,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Free_Wheelin.jpg,Stamile,2004,cream yellow with burgundy red eye above emerald green throat,(Wild and Wonderful × Tet. Marked by Lydia),Tetraploid,"Extra Early,Rebloom",48,6,Spider 4.69:1,"9 in, (23 cm)",Diurnal,254-A,Evergreen,"34 in, (86 cm)","","",""
Freedom's Triumph,$15.00,,152629,https://www.daylilies.org/DaylilyDB/detail.php?id=152629,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Freedom's_Triumph.jpg,Carpenter-J.,2005,lavender purple with white lavender cream watermark above green throat,(Essence of Royalty × sdlg),Tetraploid,"Early-Midseason,Rebloom",35,5,"","6 in, (15 cm)",Diurnal,T-01-44,Evergreen,"28 in, (71 cm)",Fragrant,"",""
Frills And Fancies,$10.00,,4046,https://www.daylilies.org/DaylilyDB/detail.php?id=4046,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frills_And_Fancies.jpg,Joiner-J.,1996,tiger lily orange blend with a green throat,"",Diploid,"Midseason-Late,Rebloom","","",Double,"5 in, (13 cm)",Diurnal,92-DD-JJ-FJ-JJ-2,Evergreen,"28 in, (71 cm)",Fragrant,"",""
Frilly Bliss,$10.00,,4049,https://www.daylilies.org/DaylilyDB/detail.php?id=4049,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frilly_Bliss.jpg,Joiner-J.,1998,powder pink with rose halo and green throat,(sdlg × sdlg),Diploid,Midseason-Late,36,6,Unusual FormCascade,"9 in, (23 cm)",Diurnal,96-DD-SpD-7,Evergreen,"34 in, (86 cm)","","",""
Frost Burned,"",,181562,https://www.daylilies.org/DaylilyDB/detail.php?id=181562,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/frostburned.jpg,Salter,2016,"pale ivory, creamy yellow flower with a deeper ruffled yellow edge",(unknown × unknown),Tetraploid,"Early-Midseason,Rebloom","","","","6 in, (15 cm)",Diurnal,JS0616,Semi-Evergreen,"29 in, (74 cm)","","",""
Frosted Vintage Ruffles,$10.00,,141028,https://www.daylilies.org/DaylilyDB/detail.php?id=141028,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frosted_Vintage_Ruffles.jpg,Begnaud,2000,cream blend with pink edge above yellow green throat,(Beautiful Edgings × Attic Antique),Diploid,"Early,Rebloom",20,4,"","4.5 in, (11 cm)",Diurnal,BE-AA-1-95,Dormant,"24 in, (61 cm)",Very Fragrant,"",""
Fruit Loops,$6.00,,22694,https://www.daylilies.org/DaylilyDB/detail.php?id=22694,https://www.daylilies.org/DaylilyDB/None,Wild,1980,Cantaloupe edged red violet with yellow green throat,"",Diploid,Midseason-Late,"","","","6.5 in, (17 cm)",Diurnal,Ls,Dormant,"30 in, (76 cm)","","",""
Full Throttle,$12.00,,161565,https://www.daylilies.org/DaylilyDB/detail.php?id=161565,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Full Throttle.jpg,Petit,2010,deep red with a lighter watermark and wire gold edge,((Ruby Pearl Sullivan × Passion in Paris) × Ruby Pearl Sullivan),Tetraploid,"Midseason,Rebloom","","","","6.5 in, (17 cm)",Diurnal,F-10-09,Semi-Evergreen,"28 in, (71 cm)","","",""
Fully Blessed,$30.00,,176841,https://www.daylilies.org/DaylilyDB/detail.php?id=176841,https://www.daylilies.org/DaylilyDB/AHSPhoto/F/FULLY BLESSED.jpg,Waldrop,2014,pink with an ivory eye and a yellow throat,(Cerise Masterpiece × Tet. Dena Marie),Tetraploid,"Early-Midseason,Rebloom",31,4,"","7 in, (18 cm)",Diurnal,"",Dormant,"33 in, (84 cm)","","",""
Future Design,$10.00,,22765,https://www.daylilies.org/DaylilyDB/detail.php?id=22765,https://www.daylilies.org/DaylilyDB/None,Joiner,1990,amber rose blend with green throat,(Ivory Cloud × Frances Joiner),Diploid,"Midseason-Late,Rebloom","","","","6 in, (15 cm)",Diurnal,88-DD-IC-J-J-70,Evergreen,"26 in, (66 cm)",Fragrant,"",""
Gadsden Goliath,$8.00,,22782,https://www.daylilies.org/DaylilyDB/detail.php?id=22782,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/gadsden goliath.jpg,Reinke,1990,red spider with gold midribs and bright gold throat,(Kindly Light × Open Hearth),Diploid,Early-Midseason,"","",Spider 5.00:1,"9.5 in, (24 cm)",Diurnal,1-KL-88,Semi-Evergreen,"36 in, (91 cm)",Fragrant,"",""
Galactic Green,"",,179172,https://www.daylilies.org/DaylilyDB/detail.php?id=179172,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Galactic Green.jpg,Pierce-G.,2015,"purple base, darker purple eye and huge green throat with extra heavy substance",(Emerald Prism × Tet. Rose F. Kennedy),Tetraploid,"Early-Midseason,Rebloom",25,4,"","8.25 in, (21 cm)",Diurnal,2098-B,Semi-Evergreen,"34 in, (86 cm)","","",""
Gary Colby,"",,152973,https://www.daylilies.org/DaylilyDB/detail.php?id=152973,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/gary_colby.jpg,Petit,2005,rose with gold edge above green throat,(John Peat × Moment In the  Sun),Tetraploid,"Midseason,Rebloom","","","","8 in, (20 cm)",Diurnal,"",Semi-Evergreen,"26 in, (66 cm)",Fragrant,"",""
Gavin Petit,$18.00,,150064,https://www.daylilies.org/DaylilyDB/detail.php?id=150064,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Gavin_Petit_Copy.jpg,Petit,2004,tangerine with black eye and edge above green throat,(Awesome Blossom × (sdlg × Only Believe)),Tetraploid,"Midseason,Rebloom","","","","6.5 in, (17 cm)",Diurnal,S-05-01,Semi-Evergreen,"27 in, (69 cm)",Fragrant,"",""
Geechee Ho-Down,$15.00,,157102,https://www.daylilies.org/DaylilyDB/detail.php?id=157102,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Geechee_Ho-Down.jpg,Joiner-J.,2007,holly berry wash cream yellow bicolor,(sdlg × sdlg),Tetraploid,"Early-Midseason,Rebloom",13,3,"","6 in, (15 cm)",Diurnal,J03-T-IAM-PPSSMM-162,Evergreen,"36 in, (91 cm)","","",""
Geneva Chainsaw,$15.00,,150929,https://www.daylilies.org/DaylilyDB/detail.php?id=150929,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/GENEVA_CHAINSAW.jpg,Hansen-D.,2004,orange yellow green with white tooth edge above green throat,(Cliffs of Abique × (Land Shark × Chama Valley)),Tetraploid,"Early-Midseason,Rebloom",24,4,Unusual FormCrispate-Spatulate,"8 in, (20 cm)",Diurnal,2CLRLSCV,Semi-Evergreen,"31 in, (79 cm)","","",""
Geneva Firetruck,$8.00,,144717,https://www.daylilies.org/DaylilyDB/detail.php?id=144717,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Geneva_Firetruck.jpg,Hansen-D.,2001,red with yellow edge above green yellow throat,(Roses in Snow × (Calgary Stampede × Alexandra)),Tetraploid,"Early-Midseason,Rebloom",18,4,"","5.5 in, (14 cm)",Diurnal,Red Edge,Semi-Evergreen,"30 in, (76 cm)","","",""
Gentle Shepherd,"",,23133,https://www.daylilies.org/DaylilyDB/detail.php?id=23133,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Gentle Shepherd.jpg,Yancey,1980,near white self with yellow green throat,(sdlg × sdlg),Diploid,Early-Midseason,"","","","5 in, (13 cm)",Diurnal,NW 39-78,Semi-Evergreen,"29 in, (74 cm)","","",""
Gigantor,"",,185176,https://www.daylilies.org/DaylilyDB/detail.php?id=185176,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Gigantor_1509979880.jpg,Pierce-G.,2017,"Merlot purple, lighter watermark, double edge of silver lavender and heavy ruffled lemon, giant lemon chartreuse nine and a half inch extended green throat, very thick substance with diamond dusting.",((Appliqu&eacute; Prism x Tet. Rose F. Kennedy) × Max Factor),Tetraploid,"Early,Rebloom",35,6,"","10.25 in, (26 cm)",Diurnal,4004-i,Dormant,"34 in, (86 cm)",Fragrant,"",""
Ginger Jar,$6.00,,23298,https://www.daylilies.org/DaylilyDB/detail.php?id=23298,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Ginger Jar.jpg,Munson-R.W.,1970,amber tan self with yellow throat,"",Tetraploid,Midseason,"","","","6 in, (15 cm)",Diurnal,"",Evergreen,"32 in, (81 cm)","","",""
Gleam Of Time,"",,146085,https://www.daylilies.org/DaylilyDB/detail.php?id=146085,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Gleam of Time- Joiner Monbeck_1523383130.jpg,Joiner,2002,aurora red with sepals green petaloids yellow edge above yellow green throat,(sdlg × Night Embers),Tetraploid,"Midseason,Rebloom",42,5,Double 95%,"4 in, (10 cm)",Nocturnal,E00TD6R0SPNE2,Evergreen,"34 in, (86 cm)","","",""
Glory in the Sunset,"",,152405,https://www.daylilies.org/DaylilyDB/detail.php?id=152405,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Glory_in_the_Sunset.jpg,Carpenter-J.,2005,soft coral orange self,(Jerry Pate Williams × sdlg),Tetraploid,"Midseason,Rebloom",22,4,Double 100%,"5.5 in, (14 cm)",Diurnal,T-03-3,Evergreen,"24 in, (61 cm)",Fragrant,"",""
Glowing Lantern,"",,177139,https://www.daylilies.org/DaylilyDB/detail.php?id=177139,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/glowinglantern.jpg,Bell-T.,2014,intense red orange with wide yellow appliquéd throat and yellow edge,(Deliverer × unknown),Tetraploid,"Midseason,Rebloom",15,2,"","5.25 in, (13 cm)",Diurnal,98-10,Evergreen,"27 in, (69 cm)",Fragrant,"",""
Glowing Pumpkin,"",,183269,https://www.daylilies.org/DaylilyDB/detail.php?id=183269,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Glowing Pumpkin.JPG,Culver-B.,2017,bright clear orange with lighter watermark above green throat,(Spirit Fox × Glowing Quasar),Tetraploid,Midseason-Late,20,4,"","5.5 in, (14 cm)",Extended,1505A,Dormant,"34 in, (86 cm)","","",""
God Bless Louisiana,"",,185024,https://www.daylilies.org/DaylilyDB/detail.php?id=185024,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/GodBlessLouisiana_1509372581.jpg_1508354061,Carpenter-M.,2017,Cream with a large purple eye and purple picotee edge.,(Bold Awakening × sdlg),Diploid,"Early,Rebloom",18,4,"","8.5 in, (21 cm)",Diurnal,16-4-2-26,Evergreen,"27 in, (68 cm)","","",""
God Save The Queen,$15.00,,153521,https://www.daylilies.org/DaylilyDB/detail.php?id=153521,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/God_Save_The_Queen.jpg,Morss,2005,medium amethyst with midnight purple eye and purple outlined yellow gold edge above yellow to green throat,((Moon Feather × Martina Verhaert) × Scott Bennett),Tetraploid,"Early,Rebloom",26,4,"","7 in, (18 cm)",Extended,14-Feb,Evergreen,"30 in, (76 cm)","","",""
Goldenzelle,$12.00,,154751,https://www.daylilies.org/DaylilyDB/detail.php?id=154751,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/goldenzelle.jpg,Smith-FR,2006,intense golden yellow with deep cordovan colored chevron shaped eye and darker edge,(Crazy Ivan × Eye on America),Tetraploid,"Midseason,Rebloom",24,4,"","5 in, (13 cm)",Extended,"",Semi-Evergreen,"32 in, (81 cm)","","",""
Grace And Style,"",,149931,https://www.daylilies.org/DaylilyDB/detail.php?id=149931,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Grace_and_Style.jpg,Joiner-J.,2004,pearl blush self above light green throat,(sdlg × sdlg),Diploid,"Midseason,Rebloom",18,3,Double 98%,"6 in, (15 cm)",Diurnal,J99-DD-JJ-JJ-83,Evergreen,"30 in, (76 cm)","","",""
Grand Marshal,"",,4417,https://www.daylilies.org/DaylilyDB/detail.php?id=4417,https://www.daylilies.org/DaylilyDB/None,Brown-E.C.,1993,ivory yellow self with green throat,(Kathleen Salter × Tet. Ruffled Ivory),Tetraploid,Early-Midseason,"","","","6.5 in, (17 cm)",Extended,Y.RUF.-X4,Semi-Evergreen,"28 in, (71 cm)","","",""
Grand Merci,$6.00,,24085,https://www.daylilies.org/DaylilyDB/detail.php?id=24085,https://www.daylilies.org/DaylilyDB/None,Kirchhoff-D.,1985,rose with deeper edge and green throat,(Chicago Candy Cane × (Inner View × Ming Porcelain)),Tetraploid,"Early-Midseason,Rebloom","","","","5.25 in, (13 cm)",Extended,833-CCC-I-85,Semi-Evergreen,"22 in, (56 cm)",Fragrant,"",""
Granny Coot,$10.00,,147154,https://www.daylilies.org/DaylilyDB/detail.php?id=147154,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Granny_Coot.jpg,Hansen-D.,2002,red with thin white edge above bright yellow throat,((Sultans Warrior × (Make My Day × Ida's Magic)) × San Antonio Firecracker),Tetraploid,"Midseason,Rebloom",18,4,"","5 in, (13 cm)",Extended,"",Evergreen,"27 in, (69 cm)","","",""
Gray-crowned Crane,$15.00,,170519,https://www.daylilies.org/DaylilyDB/detail.php?id=170519,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/GRAY-CROWNED CRANE.jpg,Lambertson,2012,"medium purple sepals, purple petals, gray eye and edge, cream outer edge, green throat",(Blue Hippo × Blue Gray Tanager),Tetraploid,"Early,Rebloom",20,3,"","6 in, (15 cm)",Diurnal,LL215,Semi-Evergreen,"29 in, (74 cm)","","",""
Great American Pie Pan,$20.00,,167538,https://www.daylilies.org/DaylilyDB/detail.php?id=167538,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Great American Pie Pan.jpg,Smith-Harry-P.,2011,"white base and tightly ruffled edge with large deep throat, rebloom has large pleated ruffles",(Jeff Bradley × Icy Icy Wind),Tetraploid,Early-Midseason,26,5,"","6 in, (15 cm)",Diurnal,9-Nov,Semi-Evergreen,"30 in, (76 cm)",Fragrant,"",""
Great White,$15.00,,4470,https://www.daylilies.org/DaylilyDB/detail.php?id=4470,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Great White_Stamile_Beth Creveling_1516461397.jpg,Stamile,1996,ivory cream self with green throat,(Glacier Bay × Whisper White),Tetraploid,"Early-Midseason,Rebloom","","","","6.25 in, (16 cm)",Extended,5365-B,Evergreen,"28 in, (71 cm)",Fragrant,"",""
Great White Dove,"",,169201,https://www.daylilies.org/DaylilyDB/detail.php?id=169201,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Great White Dove.jpg,Pierce-G.,2012,"white self, ruffled edges with angel wings and green throat",(Shamrock Dew × Fancy Lace),Tetraploid,"Extra Early,Rebloom",50,9,"","6.5 in, (17 cm)",Diurnal,828-A,Evergreen,"38 in, (97 cm)",Fragrant,"",""
Green Arrow,$15.00,,160154,https://www.daylilies.org/DaylilyDB/detail.php?id=160154,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Green_Arrow.JPG,Gossard,2008,greenish yellow self,(Royal Curls × Great Red Dragon),Diploid,"Midseason,Rebloom",22,4,Unusual FormCascade,"8 in, (20 cm)",Diurnal,RCISSWD#2,Dormant,"46 in, (117 cm)",Fragrant,"",""
Green Inferno,"",,155639,https://www.daylilies.org/DaylilyDB/detail.php?id=155639,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Green_Inferno.jpg,Gossard,2006,neon green above green throat,(Royal Curls × Great Red Dragon),Diploid,"Early-Midseason,Rebloom",18,3,Spider 5.00:1,"7.5 in, (19 cm)",Diurnal,RCISSWD#3,Dormant,"39 in, (99 cm)","","",""
Green Morning Glow,"",,4489,https://www.daylilies.org/DaylilyDB/detail.php?id=4489,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Green_Morning_Glow.jpg,Carpenter-J.,1994,cream with dark purple eyezone above intense green throat,"",Diploid,"Early-Midseason,Rebloom","","","","3.25 in, (8 cm)",Diurnal,JC-92-51,Evergreen,"22 in, (56 cm)",Fragrant,"",""
Green Rainbow,"",,152158,https://www.daylilies.org/DaylilyDB/detail.php?id=152158,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Green_Rainbow_2005.jpg,Herrington-T.,2005,green lavender with purple eye above huge green throat,(Dixieland Five × sdlg),Diploid,"Early-Midseason,Rebloom",28,7,"","4 in, (10 cm)",Diurnal,1-SP,Dormant,"25 in, (64 cm)",Fragrant,"",""
Grey Witch,$10.00,,6187,https://www.daylilies.org/DaylilyDB/detail.php?id=6187,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Grey_Witch.jpg,Reed,1999,gray lavender with purple eye above green throat,(Trahlyta × unknown),Diploid,Early-Midseason,15,2,Spider 4.22:1,"6 in, (15 cm)",Diurnal,MR96TRGP,Dormant,"30 in, (76 cm)","","",""
Guadalajara,"",,147785,https://www.daylilies.org/DaylilyDB/detail.php?id=147785,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Guadalajara.jpg,Carpenter-J.,2003,very hot orange self,(Desert Flame × Tet. Rose Red Ruffles),Tetraploid,"Midseason,Rebloom",21,4,Double 75%,"5.5 in, (14 cm)",Diurnal,02P31T,Semi-Evergreen,"22 in, (56 cm)",Fragrant,"",""
Gunmetal Magic,"",,177638,https://www.daylilies.org/DaylilyDB/detail.php?id=177638,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/gunmetalmagic.jpg,Salter,2015,"medium lavender purple with a washed eye of purple and gray, tiny white shark's teeth on the edge",(unknown × unknown),Tetraploid,"Midseason,Rebloom",30,4,"","6 in, (15 cm)",Diurnal,9608,Evergreen,"30 in, (76 cm)","","",""
Gypsy Jazz,"",,182088,https://www.daylilies.org/DaylilyDB/detail.php?id=182088,https://www.daylilies.org/DaylilyDB/AHSPhoto/G/gypsyjazz.jpg,Trimmer,2017,plum with white watermark and green throat with green gold edge,(Merlot × Dixieland Delight),Tetraploid,"Early-Midseason,Rebloom",22,3,"","6.75 in, (17 cm)",Diurnal,1-399,Evergreen,"30 in, (76 cm)",Fragrant,"",""
Halloween Green,$60.00,,167551,https://www.daylilies.org/DaylilyDB/detail.php?id=167551,https://www.daylilies.org/DaylilyDB/AHSPhoto/H/Halloween Green.jpg,Herrington-T.,2011,orange with a triangular red eye and intense green throat,(Green Rainbow × Amazing Morris Kirby),Diploid,"Early-Midseason,Rebloom",21,6,"","3.5 in, (9 cm)",Diurnal,h5,Semi-Evergreen,"24 in, (61 cm)","","",""
Hang Six,$8.00,,145669,https://www.daylilies.org/DaylilyDB/detail.php?id=145669,https://www.daylilies.org/DaylilyDB/AHSPhoto/H/Hang Six.jpg,Stamile,2002,red self above chartreuse yellow throat,(Daniel Webster × Web Browser),Tetraploid,"Early,Rebloom",30,3,Spider 5.00:1,"10.5 in, (27 cm)",Diurnal,086-J,Evergreen,"43 in, (109 cm)",Fragrant,"",""
Happy Halloween,$15.00,,151898,https://www.daylilies.org/DaylilyDB/detail.php?id=151898,https://www.daylilies.org/DaylilyDB/AHSPhoto/H/Happy_Halloween.jpg,Salter,2005,salmon orange with black eye and edge above green throat,"",Tetraploid,"Midseason,Rebloom",40,5,"","5 in, (13 cm)",Diurnal,"",Semi-Evergreen,"18 in, (46 cm)","","",""
Happy Teeth,"",,176152,https://www.daylilies.org/DaylilyDB/detail.php?id=176152,https://www.daylilies.org/DaylilyDB/AHSPhoto/H/Happy Teeth.jpg,Trimmer,2014,"plum purple with yellow chartreuse throat, dramatic white tooth edge",(Oklahoma Sand Burr × John Kulpa),Tetraploid,"Early,Rebloom",17,2,"","5.5 in, (14 cm)",Diurnal,Feb-38,Evergreen,"36 in, (91 cm)","","",""
